agent,ici_class,phenotype_family,openfda_total_agent_reports,agent_family_reports,all_database_family_reports,all_database_reports,reporting_odds_ratio,ror_ci_low,ror_ci_high,drug_query,reaction_query,interpretation_role,claim_boundary
dostarlimab,PD-1,skin,2013,133,725597,20328575,1.918,1.609,2.286,"(patient.drug.medicinalproduct.exact:""DOSTARLIMAB"" OR patient.drug.medicinalproduct.exact:""JEMPERLI"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
dostarlimab,PD-1,neuromuscular,2013,28,20425,20328575,14.29,9.87,20.69,"(patient.drug.medicinalproduct.exact:""DOSTARLIMAB"" OR patient.drug.medicinalproduct.exact:""JEMPERLI"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
durvalumab,PD-L1,pneumonitis,17032,1174,72123,20328575,21.13,19.9,22.43,"(patient.drug.medicinalproduct.exact:""DURVALUMAB"" OR patient.drug.medicinalproduct.exact:""IMFINZI"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
durvalumab,PD-L1,colitis,17032,794,655379,20328575,1.469,1.368,1.578,"(patient.drug.medicinalproduct.exact:""DURVALUMAB"" OR patient.drug.medicinalproduct.exact:""IMFINZI"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
durvalumab,PD-L1,hepatitis,17032,265,112185,20328575,2.858,2.531,3.227,"(patient.drug.medicinalproduct.exact:""DURVALUMAB"" OR patient.drug.medicinalproduct.exact:""IMFINZI"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
durvalumab,PD-L1,endocrine,17032,535,57293,20328575,11.58,10.62,12.63,"(patient.drug.medicinalproduct.exact:""DURVALUMAB"" OR patient.drug.medicinalproduct.exact:""IMFINZI"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
durvalumab,PD-L1,nephritis,17032,138,133893,20328575,1.237,1.046,1.462,"(patient.drug.medicinalproduct.exact:""DURVALUMAB"" OR patient.drug.medicinalproduct.exact:""IMFINZI"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
durvalumab,PD-L1,cardiac,17032,211,26440,20328575,9.724,8.486,11.14,"(patient.drug.medicinalproduct.exact:""DURVALUMAB"" OR patient.drug.medicinalproduct.exact:""IMFINZI"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
durvalumab,PD-L1,skin,17032,539,725597,20328575,0.8836,0.811,0.9628,"(patient.drug.medicinalproduct.exact:""DURVALUMAB"" OR patient.drug.medicinalproduct.exact:""IMFINZI"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
durvalumab,PD-L1,neuromuscular,17032,178,20425,20328575,10.61,9.152,12.31,"(patient.drug.medicinalproduct.exact:""DURVALUMAB"" OR patient.drug.medicinalproduct.exact:""IMFINZI"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
